,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
num.p.scXY,359,368,383,334,340,366,339,345,355,361
num.true.p.scXY,354,364,378,330,337,362,338,339,351,358
precesion.scXY,0.986072423,0.989130435,0.98694517,0.988023952,0.991176471,0.989071038,0.997050147,0.982608696,0.988732394,0.991689751
recall.scXY,0.708,0.729458918,0.756,0.66,0.674,0.725450902,0.677354709,0.679358717,0.702,0.716
FalseP.scXY,0.0025,0.002001001,0.0025,0.002,0.0015,0.002002002,0.00050025,0.003001501,0.002,0.0015
F1.scXY,0.824214203,0.839677047,0.85617214,0.791366906,0.802380952,0.83699422,0.806682578,0.803317536,0.821052632,0.831591173
one.p.scXY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
num.p.t,246,272,256,260,252,271,242,250,241,256
num.true.p.t,244,268,253,256,252,269,241,250,241,255
precesion.t,0.991869919,0.985294118,0.98828125,0.984615385,1,0.992619926,0.995867769,1,1,0.99609375
recall.t,0.488,0.537074148,0.506,0.512,0.504,0.539078156,0.482965932,0.501002004,0.482,0.51
FalseP.t,0.001,0.002001001,0.0015,0.002,0,0.001001001,0.00050025,0,0,0.0005
F1.t,0.654155496,0.695201038,0.669312169,0.673684211,0.670212766,0.698701299,0.650472335,0.667556742,0.650472335,0.674603175
one.p.t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
num.p.limma,307,335,294,300,308,308,292,291,288,318
num.true.p.limma,307,335,294,300,308,308,292,291,288,318
precesion.limma,1,1,1,1,1,1,1,1,1,1
recall.limma,0.614,0.671342685,0.588,0.6,0.616,0.617234469,0.585170341,0.583166333,0.576,0.636
FalseP.limma,0,0,0,0,0,0,0,0,0,0
F1.limma,0.760842627,0.803357314,0.740554156,0.75,0.762376238,0.763320942,0.738305942,0.736708861,0.730964467,0.777506112
one.p.limma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
