"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"num.p.scXY",428,417,433,427,440,441,452,415,426,430
"num.true.p.scXY",417,409,424,410,425,427,443,408,423,420
"precesion.scXY",0.974299065420561,0.980815347721823,0.979214780600462,0.960187353629977,0.965909090909091,0.968253968253968,0.980088495575221,0.983132530120482,0.992957746478873,0.976744186046512
"recall.scXY",0.834,0.818,0.849699398797595,0.821643286573146,0.851703406813627,0.854,0.886,0.817635270541082,0.846,0.841683366733467
"FalseP.scXY",0.0055,0.004,0.00450225112556278,0.00850425212606303,0.00750375187593797,0.007,0.0045,0.00350175087543772,0.0015,0.00500250125062531
"F1.scXY",0.898706896551724,0.892039258451472,0.909871244635193,0.885529157667387,0.905218317358892,0.907545164718385,0.930672268907563,0.892778993435449,0.913606911447084,0.904198062432723
"one.p.scXY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"num.p.t",96,107,107,92,107,101,93,90,104,104
"num.true.p.t",96,106,107,91,107,101,93,90,103,103
"precesion.t",1,0.990654205607477,1,0.989130434782609,1,1,1,1,0.990384615384615,0.990384615384615
"recall.t",0.192,0.212,0.214428857715431,0.182364729458918,0.214428857715431,0.202,0.186,0.180360721442886,0.206,0.206412825651303
"FalseP.t",0,0.0005,0,0.000500250125062531,0,0,0,0,0.0005,0.000500250125062531
"F1.t",0.322147651006711,0.349258649093904,0.353135313531353,0.307952622673435,0.353135313531353,0.336106489184692,0.313659359190556,0.305602716468591,0.341059602649007,0.341625207296849
"one.p.t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"num.p.limma",325,329,319,341,328,333,336,321,332,335
"num.true.p.limma",325,329,319,341,328,333,336,321,332,335
"precesion.limma",1,1,1,1,1,1,1,1,1,1
"recall.limma",0.65,0.658,0.639278557114228,0.683366733466934,0.657314629258517,0.666,0.672,0.643286573146293,0.664,0.671342685370741
"FalseP.limma",0,0,0,0,0,0,0,0,0,0
"F1.limma",0.787878787878788,0.79372738238842,0.779951100244499,0.811904761904762,0.79322853688029,0.799519807923169,0.803827751196172,0.782926829268293,0.798076923076923,0.803357314148681
"one.p.limma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
