,TP.scXY,FP.scXY,F1.scXY,TP.t,FP.t,F1.t,TP.limma,FP.limma,F1.limma
1,0.313652104,0.000950275,0.47590261,0.004805611,0,0.011908976,0,0,NA
2,0.424540281,0.001350325,0.593437869,0.041642084,5.00501E-05,0.088034345,0.000600802,0,0.005988024
3,0.471975952,0.00180045,0.63791862,0.11030501,0.00020005,0.197589485,0.00280521,0,0.013891096
4,0.541636072,0.0027006,0.69764287,0.295646493,0.001150275,0.453880562,0.007811222,0,0.021882322
5,0.604281363,0.004300976,0.745199,0.466179158,0.0028507,0.630698003,0.030234068,0,0.058049048
6,0.662729058,0.008251951,0.781500748,0.586076553,0.008052127,0.724035795,0.116317034,0,0.204822161
