,TP.scXY,FP.scXY,F1.scXY,TP.t,FP.t,F1.t,TP.limma,FP.limma,F1.limma
1,0.168632064,0.00065,0.287440559,0.038811222,0,0.074408786,0.141028858,0.00235015,0.244745989
2,0.200236874,0.00110005,0.332064297,0.075614429,0,0.140410766,0.287057715,0.005150275,0.438170039
3,0.219641683,0.00125005,0.358354697,0.104218437,0.0001,0.188203772,0.338263727,0.00595035,0.496034086
4,0.247845691,0.002100125,0.39418466,0.145627655,0.0004,0.25332014,0.411078958,0.007500475,0.569611019
5,0.276447695,0.0029002,0.428496278,0.185633667,0.001500075,0.310398565,0.461687375,0.0084005,0.616667192
6,0.311457715,0.005000325,0.467085265,0.241842886,0.003500225,0.384036852,0.512895391,0.010100625,0.659347002
