"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"num.p.scXY",329,327,322,334,348,329,351,324,326,319
"num.true.p.scXY",318,320,316,318,335,318,344,317,323,309
"precesion.scXY",0.966565349544073,0.978593272171254,0.981366459627329,0.952095808383233,0.96264367816092,0.966565349544073,0.98005698005698,0.978395061728395,0.99079754601227,0.968652037617555
"recall.scXY",0.636,0.64,0.633266533066132,0.637274549098196,0.671342685370741,0.636,0.688,0.635270541082164,0.646,0.619238476953908
"FalseP.scXY",0.0055,0.0035,0.00300150075037519,0.0080040020010005,0.00650325162581291,0.0055,0.0035,0.00350175087543772,0.0015,0.00500250125062531
"F1.scXY",0.767189384800965,0.773881499395405,0.76979293544458,0.763505402160864,0.791027154663518,0.767189384800965,0.808460634547591,0.770352369380316,0.782082324455206,0.755501222493888
"one.p.scXY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"num.p.t",0,0,6,14,3,0,0,4,1,0
"num.true.p.t",0,0,6,14,3,0,0,4,1,0
"precesion.t",NA,NA,1,1,1,NA,NA,1,1,NA
"recall.t",0,0,0.0120240480961924,0.0280561122244489,0.00601202404809619,0,0,0.00801603206412826,0.002,0
"FalseP.t",0,0,0,0,0,0,0,0,0,0
"F1.t",NA,NA,0.0237623762376238,0.0545808966861598,0.0119521912350598,NA,NA,0.0159045725646123,0.00399201596806387,NA
"one.p.t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"num.p.limma",0,0,0,0,0,0,0,0,0,0
"num.true.p.limma",0,0,0,0,0,0,0,0,0,0
"precesion.limma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recall.limma",0,0,0,0,0,0,0,0,0,0
"FalseP.limma",0,0,0,0,0,0,0,0,0,0
"F1.limma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"one.p.limma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
