,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
num.p.scXY,1,0,4,0,0,3,1,0,3,0
num.true.p.scXY,0,0,0,0,0,0,0,0,0,0
precesion.scXY,0,0,0,0,0,0,0,0,0,0
recall.scXY,0,0,0,0,0,0,0,0,0,0
FalseP.scXY,0.0005,0,0.002,0,0,0.001501502,0.00050025,0,0.0015,0
F1.scXY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
one.p.scXY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
num.p.t,0,0,0,0,0,0,0,0,0,0
num.true.p.t,0,0,0,0,0,0,0,0,0,0
precesion.t,0,0,0,0,0,0,0,0,0,0
recall.t,0,0,0,0,0,0,0,0,0,0
FalseP.t,0,0,0,0,0,0,0,0,0,0
F1.t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
one.p.t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
num.p.limma,316,332,318,329,332,321,314,298,325,324
num.true.p.limma,0,0,0,0,0,0,0,0,0,0
precesion.limma,0,0,0,0,0,0,0,0,0,0
recall.limma,0,0,0,0,0,0,0,0,0,0
FalseP.limma,0.158,0.166083042,0.159,0.1645,0.166,0.160660661,0.157078539,0.149074537,0.1625,0.162
F1.limma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
one.p.limma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
