"","TP.scXY","FP.scXY","F1.scXY","TP.t","FP.t","F1.t","TP.limma","FP.limma","F1.limma"
"1",0.2912,0.002,0.447949616462997,0.0004,0,0.00399201596806387,0.0434,0.0004,0.0828102629385103
"2",0.3262,0.0033,0.486773209684678,0.0038,0.00005,0.0150418834819438,0.2966,0.00365,0.451856579896852
"3",0.3412,0.0048,0.501386207326942,0.01,0.00005,0.0217969813162805,0.4028,0.005,0.565833603344674
"4",0.3654,0.00695,0.524254493588396,0.0352,0.0001,0.067560425467213,0.4974,0.0064,0.652586503370689
"5",0.3938,0.00945,0.549883663539465,0.0786,0.0003,0.144849588039543,0.5652,0.00735,0.70839570063477
"6",0.42,0.01405,0.56881348948954,0.1498,0.0014,0.258386103354472,0.6204,0.0083,0.749919113829697
