,TP.scXY,FP.scXY,F1.scXY,TP.t,FP.t,F1.t,TP.limma,FP.limma,F1.limma
1,0.629106613,0.0011003,0.770054473,0.23418477,5.00501E-05,0.378757941,0.276616834,0,0.432467278
2,0.67893988,0.001700425,0.805228673,0.426947094,0.0003001,0.597656794,0.531023246,0,0.693386341
3,0.702762325,0.001950475,0.821344939,0.506212024,0.000850225,0.670437156,0.608691383,0,0.756393666
4,0.735388778,0.003100776,0.841284068,0.602688176,0.0018504,0.748353854,0.695563126,0.000250175,0.819730344
5,0.766816834,0.005151251,0.857842724,0.675951904,0.004101026,0.798555086,0.754008818,0.000600225,0.858346344
6,0.800642485,0.009952452,0.869950543,0.750007615,0.010602852,0.836687697,0.802248096,0.00130045,0.887366215
