"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"num.p.scXY",2,3,2,8,0,3,2,4,0,5
"num.true.p.scXY",0,0,0,0,0,0,0,0,0,0
"precesion.scXY",0,0,0,0,0,0,0,0,0,0
"recall.scXY",0,0,0,0,0,0,0,0,0,0
"FalseP.scXY",0.001,0.0015,0.00100050025012506,0.00400200100050025,0,0.0015,0.001,0.00200100050025012,0,0.00250125062531266
"F1.scXY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"one.p.scXY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"num.p.t",0,0,0,0,0,0,0,0,0,0
"num.true.p.t",0,0,0,0,0,0,0,0,0,0
"precesion.t",0,0,0,0,0,0,0,0,0,0
"recall.t",0,0,0,0,0,0,0,0,0,0
"FalseP.t",0,0,0,0,0,0,0,0,0,0
"F1.t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"one.p.t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"num.p.limma",244,227,217,226,217,210,206,199,218,219
"num.true.p.limma",0,0,0,0,0,0,0,0,0,0
"precesion.limma",0,0,0,0,0,0,0,0,0,0
"recall.limma",0,0,0,0,0,0,0,0,0,0
"FalseP.limma",0.122,0.1135,0.108554277138569,0.113056528264132,0.108554277138569,0.105,0.103,0.0995497748874437,0.109,0.109554777388694
"F1.limma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"one.p.limma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
