lr.cell.name,lr.gene.name,obs.xy.diff,null.diff.sd,pvalue,stage,adj.p,Welch.t.stat,Welch.t.sd,Welch.t.p,adj.t.p,Ligand_s1,Ligand_s2,Ligand_s3,Ligand_s4,Ligand_s5,Ligand_s6,Ligand_s7,Ligand_s8,Ligand_s9,Ligand_s10,Ligand_s11,Ligand_s12,Ligand_s13,Ligand_s14,Ligand_s15,Ligand_s16,Ligand_s17,Ligand_s18,Ligand_s19,Ligand_s20,Receptor_s1,Receptor_s2,Receptor_s3,Receptor_s4,Receptor_s5,Receptor_s6,Receptor_s7,Receptor_s8,Receptor_s9,Receptor_s10,Receptor_s11,Receptor_s12,Receptor_s13,Receptor_s14,Receptor_s15,Receptor_s16,Receptor_s17,Receptor_s18,Receptor_s19,Receptor_s20,TX1.sd.limma.ligand,TX2.sd.limma.ligand,TX1.sd.limma.receptor,TX2.sd.limma.receptor
Myofibroblasts-cDCs,PLAU-ITGB1,14.0476,2.5683,6.16E-06,2,0.00188003,5.5072,2.5508,3.20E-05,0.009465769,0,1.346162853,0,1.464127336,3.629820734,0.858667205,0.870896647,0,0,3.602536607,2.639917054,2.921539023,3.735178008,4.071888881,2.761004887,2.205948685,4.832908536,4.472318957,5.389646884,2.790433564,4.804910439,3.278158092,5.856747839,4.87577599,4.514987989,4.880486254,4.444314114,4.566451695,4.849118578,5.541233893,5.169949148,4.771986768,4.824514561,5.174395411,4.141725936,4.721884686,4.704044231,4.943130148,5.729456839,5.12850937,1.082833392,1.082833392,0.543943975,0.543943975
Myofibroblasts-cDCs,PLAU-ITGA5,9.4246,1.82,6.24E-06,2,0.001901067,6.6934,1.408,3.00E-06,0.002210569,0,1.346162853,0,1.464127336,3.629820734,0.858667205,0.870896647,0,0,3.602536607,2.639917054,2.921539023,3.735178008,4.071888881,2.761004887,2.205948685,4.832908536,4.472318957,5.389646884,2.790433564,3.045524839,2.163648862,1.917649622,0,2.097461593,3.102363903,2.157619012,3.626090395,0,2.893940428,2.223242745,3.250342247,3.093099467,3.454720491,3.221226432,2.749947013,2.304158262,3.726168826,3.204679581,3.814520303,1.082833392,1.082833392,0.921677409,0.921677409
Endothelial Cells-AT2,SPP1-ITGAV,20.0526,3.6616,6.40E-06,2,0.001938421,5.169,3.8794,0.000158,0.022873753,2.722035879,0,1.469912255,2.67303606,0,0,0.82569951,0,0,5.797742678,6.928850195,6.259230472,7.413020044,5.286511308,7.299575516,4.988504577,4.985774563,3.289669413,0,4.172376153,3.869819998,4.091916877,5.387684617,3.760609643,3.82030488,3.289758926,4.57016791,5.114846638,5.419065155,6.650002626,4.043309053,4.724181031,4.635014509,4.670964409,5.117501113,4.490236029,3.494735294,3.280465063,4.347664739,4.042492524,1.748089102,1.748089102,0.837669302,0.837669302
Endothelial Cells-Macrophages,LAMA4-ITGA6,21.0063,3.9451,6.48E-06,2,0.001959398,5.2903,3.9707,0.000142,0.021787793,4.857491509,4.963154034,5.623430612,4.222617811,6.376645372,4.524643002,4.073313065,4.924765542,4.943645709,5.964783172,7.0780942,6.706662867,6.301051242,5.806686224,6.515696051,6.484300003,5.792931834,5.391221664,5.992623147,7.438250492,3.81805126,2.834334124,4.042444749,5.207818263,6.257324169,3.783486485,4.733385215,0,4.000890621,6.424178172,6.831143524,6.518228383,6.175360738,6.684808105,8.197170067,4.748752917,7.436794106,7.061561746,5.316665995,5.067572645,0.644056223,0.644056223,1.378094772,1.378094772
Myofibroblasts-cDCs,VCAN-CD44,15.1959,2.7582,6.54E-06,2,0.001972906,5.3918,2.8183,9.80E-05,0.017734397,3.397507521,4.993085885,6.499156678,5.44807201,6.836335586,5.06757386,4.692872104,4.258160118,3.701148928,7.305900987,6.241049041,6.910699241,7.439419371,6.879428778,6.088156787,6.399479587,7.52619226,6.401608347,7.555152724,7.659816173,6.180467092,6.068861199,6.490221222,5.850995251,5.61765626,5.135334465,5.886498567,6.110239826,5.823871629,6.7434092,5.655237658,6.479874613,6.606233661,6.306180109,7.64975222,6.444514038,5.650618163,6.064303118,6.378415024,6.762531347,0.875970682,0.875970682,0.480815884,0.480815884
Macrophages-cDCs,MMP1-CD44,18.8115,3.3471,6.62E-06,2,0.00198263,5.5779,3.3725,7.80E-05,0.015506123,0,0,0,0,2.147848736,0.615505942,0.635546221,0,0,4.101549349,3.359633254,2.680902144,5.718417201,1.788652926,3.397492786,2.305809251,0.803817155,2.472310636,3.13272059,5.420550626,6.180467092,6.068861199,6.490221222,5.850995251,5.61765626,5.135334465,5.886498567,6.110239826,5.823871629,6.7434092,5.655237658,6.479874613,6.606233661,6.306180109,7.64975222,6.444514038,5.650618163,6.064303118,6.378415024,6.762531347,1.177108621,1.177108621,0.480815884,0.480815884
Macrophages-Macrophages,CCL2-CCR5,41.0698,7.4252,6.62E-06,2,0.00198263,4.9597,8.2808,0.000109,0.018707106,8.222322401,9.525239421,7.631838638,7.690832578,10.28785774,7.965902881,6.342036658,4.717178805,6.570795588,14.07793517,12.79196442,12.49184608,14.02184353,11.23487507,11.0158947,8.567184702,10.8483562,13.45398684,9.130578075,13.67467435,5.788914332,4.888335711,6.731298631,4.632456808,6.439483812,4.460595815,3.059046688,6.994547242,3.170769455,7.381194364,6.720272101,6.806809134,7.517145831,6.746580575,6.440281301,4.003440795,6.26796307,6.91387182,6.558428159,7.666603623,1.793462437,1.793462437,1.202157851,1.202157851
Myofibroblasts-AT2,PLAU-ITGB1,19.0706,3.452,6.59E-06,2,0.00198263,6.1351,3.1085,1.40E-05,0.005899897,0,1.346162853,0,1.464127336,3.629820734,0.858667205,0.870896647,0,0,3.602536607,2.639917054,2.921539023,3.735178008,4.071888881,2.761004887,2.205948685,4.832908536,4.472318957,5.389646884,2.790433564,6.578268804,6.481590781,7.361605037,6.348569849,6.123296977,6.295884093,6.692066393,5.685863824,6.402106421,7.779649002,7.185379803,7.645389296,6.851334518,6.796154607,7.19103474,7.044353105,6.136260274,6.131254449,7.111039632,6.918345215,1.082833392,1.082833392,0.483453107,0.483453107
cDCs-SCGB3A2+,HSP90B1-LRP1,10.904,2.1855,6.72E-06,2,0.001997542,4.6944,2.3228,0.000531,0.041592747,5.542632229,4.562122146,6.398181293,5.850995251,6.484590101,5.135334465,5.668164964,5.387130001,4.849118578,6.154345872,6.747026443,5.939827715,6.580507666,6.753775433,6.079086753,6.30866603,5.58217764,6.19229999,6.715796527,6.543685075,0,0,0,0,2.430150383,2.3813768,0,0,0,2.221089743,2.314945356,1.85203459,2.356979689,1.859741092,2.630041325,2.1558136,1.969783655,2.019075103,3.353161144,1.556594629,0.510156983,0.510156983,0.782696661,0.782696661
Endothelial Cells-Macrophages,SPP1-CD44,52.2595,9.094,6.71E-06,2,0.001997542,5.8004,9.0096,3.30E-05,0.009577394,2.722035879,0,1.469912255,2.67303606,0,0,0.82569951,0,0,5.797742678,6.928850195,6.259230472,7.413020044,5.286511308,7.299575516,4.988504577,4.985774563,3.289669413,0,4.172376153,11.46257565,11.38180193,11.67229425,10.81574322,12.12352786,10.93970058,10.93902747,11.1213402,11.18830164,12.55436104,11.96457713,11.81066748,12.28789589,11.74799434,12.36592494,11.90913301,11.57293496,11.87578285,12.0695482,12.24301721,1.748089102,1.748089102,0.350446958,0.350446958
