"lr.cell.name","lr.gene.name","obs.xy.diff","null.diff.sd","pvalue","stage","adj.p","Welch.t.stat","Welch.t.sd","Welch.t.p","adj.t.p","limma.Lg.p","limma.Rg.p","limma.Lg.logFC","limma.Rg.logFC","adj.limma.Lg.p","adj.limma.Rg.p"
"T cells-T cells","INHBA-ACVR1",-13.1914,1.5751,0.000000000042,2,0.000000002092,-9.9114,1.3309,0.003242,0.085050516058,0.000112961695,0.594605181441,-5.2968,-0.1343,0.013241689632,0.901706714664
"T cells-T cells","INHBA-ACVR1B",-11.6005,1.9914,0.000002065018,2,0.000056549602,-2.5143,4.6139,0.229086,0.442280571013,0.000112961695,0.589432574432,-5.2968,-0.2868,0.013241689632,0.901706714664
"T cells-T cells","INHBA-ENG",-22.3045,2.7672,0.000000000059,2,0.000000002887,-5.638,3.9561,0.076184,0.302226600465,0.000112961695,0.171764589707,-5.2968,-0.998,0.013241689632,0.634461322882
"T cells-T cells","INHBA-SMAD3",-16.9418,2.7505,0.00000010986,2,0.000003698379,-5.5106,3.0744,0.047839,0.2540843922,0.000112961695,0.814330149906,-5.2968,0.1544,0.013241689632,0.928184058116
"T cells-T cells","INHBA-TGFBR3",-13.5263,2.7104,0.000021850897,2,0.000486739602,-4.9374,2.7395,0.057246,0.277497887415,0.000112961695,0.094649723114,-5.2968,1.1,0.013241689632,0.522073322014
"T cells-T cells","LPL-LRP1",-17.0655,3.0358,0.000031934083,2,0.000686582784,-1.9985,8.5394,0.292005,0.503554335131,0.010461411329,0.00884679834,-2.9458,-2.8279,0.182972407988,0.166261520958
"T cells-T cells","LRPAP1-LRP1",-21.4714,4.7601,0.000278149527,2,0.004724057804,-3.9955,5.3739,0.070304,0.302226600465,0.052271315285,0.00884679834,-0.762,-2.8279,0.417490744738,0.166261520958
"T cells-T cells","LRPAP1-SORT1",-24.7369,5.0331,0.000211646237,2,0.003723456072,-2.2142,11.1719,0.261199,0.474316196755,0.052271315285,0.005440326435,-0.762,-3.4202,0.417490744738,0.130258321367
"T cells-T cells","LYZ-ITGAL",-29.2024,4.7922,0.000000439932,2,0.000013631422,-7.8091,3.7395,0.000562,0.034293488927,0.000878458712,0.462600213586,-4.6669,-0.2761,0.045357233236,0.901706714664
"T cells-T cells","PDCD1LG2-PDCD2",10.0299,2.2545,0.000423368887,2,0.006779012143,6.8646,1.4611,0.002358,0.073820184508,0.004980053792,0.699625729756,1.6205,-0.0545,0.124358911578,0.915461152486
"T cells-T cells","PRSS23-TMEM222",10.1822,1.7591,0.000001814676,2,0.000050154228,12.8447,0.7927,0.000212,0.020345192,0.000942254255,0.300017381481,2.2852,-0.2694,0.047207967948,0.792070510708
"T cells-T cells","PSAP-LRP1",-26.2857,5.7334,0.000436053519,2,0.006938694357,-3.6026,7.2964,0.085616,0.306575977607,0.054761662119,0.00884679834,-1.1802,-2.8279,0.421462536748,0.166261520958
"T cells-T cells","PSAP-SORT1",-30.2585,6.325,0.000009233189,2,0.00022361298,-2.1402,14.1379,0.269841,0.482668403446,0.054761662119,0.005440326435,-1.1802,-3.4202,0.421462536748,0.130258321367
"T cells-T cells","SELPLG-SELL",26.8848,6.0342,0.000361599981,2,0.00591152429,7.5197,3.5752,0.001211,0.050130055427,0.774560864004,0.004686870633,0.0632,3.4702,0.923071972179,0.120200205306
"T cells-T cells","SEMA3C-NRP1",-5.0321,0.99,0.000078261315,2,0.00154024288,-3.3241,1.5138,0.179686,0.412503585835,0.018233196565,0.007649778719,-1.8506,-1.6771,0.247613753709,0.154067681119
"T cells-T cells","SERPINA1-LRP1",-28.0684,4.6787,0.000003003412,2,0.000080044058,-3.1105,9.0237,0.173286,0.412031422446,0.005539744637,0.00884679834,-3.517,-2.8279,0.131534606334,0.166261520958
"T cells-T cells","SERPING1-LRP1",-22.7405,4.8095,0.000568562536,2,0.008655930563,-1.6937,13.4264,0.333562,0.546162793838,0.057524061726,0.00884679834,-2.6956,-2.8279,0.429403324309,0.166261520958
"T cells-T cells","TGFB1-ITGB8",-23.8579,3.345,0.000000001294,2,0.000000055642,-3.6936,6.4593,0.162822,0.397832266608,0.573282592853,0.000440195366,-0.3634,-3.2189,0.901706714664,0.029832648875
"T cells-T cells","THBS1-LRP1",-16.472,3.5738,0.000362802609,2,0.005928479312,-2.1571,7.6361,0.263253,0.476403739049,0.039035413792,0.00884679834,-2.4331,-2.8279,0.365439915322,0.166261520958
"T cells-T cells","TIMP2-ITGB1",-15.9602,3.7436,0.000663784823,2,0.009898463187,-2.3804,6.7047,0.236571,0.449378927273,0.005113004483,0.626653297138,-2.1625,-0.2322,0.125899418493,0.904944559816
"T cells-T cells","TNFSF13-FAS",-14.9182,3.2226,0.000159305385,2,0.002903898008,-8.6407,1.7265,0.007902,0.134049893939,0.000922406348,0.100290426478,-3.3602,0.7959,0.04666896193,0.523841099795
"T cells-T cells","TNFSF13-TNFRSF14",-20.5965,3.5477,0.000001916054,2,0.000052874529,-3.6271,5.6784,0.146398,0.378807336704,0.000922406348,0.673241067824,-3.3602,0.1155,0.04666896193,0.911200692829
"T cells-T cells","TNFSF13-TNFRSF1A",-19.7617,3.2654,0.000001433587,2,0.000040464659,-3.4724,5.6911,0.15467,0.387556819168,0.000922406348,0.588444450746,-3.3602,-0.262,0.04666896193,0.901706714664
"T cells-T cells","VEGFB-NRP1",-7.894,1.317,0.000008983247,2,0.000218297778,-5.2491,1.5039,0.051249,0.262932596391,0.00584142229,0.007649778719,-2.0584,-1.6771,0.135539079247,0.154067681119
"T cells-T cells","TYROBP-TREM1",-36.2412,4.9018,0.000000000028,2,0.000000001419,-2.327,15.5745,0.256537,0.469156479271,0.005228954318,0.001640333631,-2.7249,-3.5962,0.127549078268,0.06603049581
"T cells-T cells","SYK-FCGR2A",-18.5009,4.0283,0.000544436656,2,0.008344534267,-1.7008,10.8779,0.328903,0.541206199789,0.018203860905,0.046830225366,-2.833,-2.3587,0.247362187287,0.401325920872
